Column A,Column B
<div>Within what distance must an amateur station protect an FCC monitoring facility from harmful interference?</div><div>BR</div> <div>A. 1 mile</div><div>BR</div> <div>B. 3 miles</div><div>BR</div> <div>C. 10 miles</div><div>BR</div> <div>D. 30 miles</div><div>BR</div>,"<div>Within what distance must an amateur station protect an FCC monitoring facility from harmful interference?</div><div>BR</div> <div><font color=""#000000"">A. 1 mile</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 3 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 10 miles</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 30 miles</font></div><div>BR</div>"
"<div>What is the National Radio Quiet Zone?</div><div>BR</div> <div>A. An area surrounding the FCC monitoring station in Laurel, Maryland </div><div>BR</div> <div>B. An area in New Mexico surrounding the White Sands Test Area</div><div>BR</div> <div>C. An area surrounding the National Radio Astronomy Observatory</div><div>BR</div> <div>D. An area in Florida surrounding Cape Canaveral</div><div>BR</div>","<div>What is the National Radio Quiet Zone?</div><div>BR</div> <div><font color=""#d5dbdb"">A. An area surrounding the FCC monitoring station in Laurel, Maryland </font></div><div>BR</div> <div><font color=""#d5dbdb"">B. An area in New Mexico surrounding the White Sands Test Area</font></div><div>BR</div> <div><font color=""#000000"">C. An area surrounding the National Radio Astronomy Observatory</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. An area in Florida surrounding Cape Canaveral</font></div><div>BR</div>"
"<div>Which of the following additional rules apply if you are erecting an amateur station antenna structure at a site at or near a public use airport?</div><div>BR</div> <div>A. You may have to notify the Federal Aviation Administration and register it with the FCC as required by Part 17 of the FCC rules</div><div>BR</div> <div>B. You may have to enter the height above ground in meters, and the latitude and longitude in degrees, minutes, and seconds on the FAA website </div><div>BR</div> <div>C. You must file an Environmental Impact Statement with the EPA before construction begins</div><div>BR</div> <div>D. You must obtain a construction permit from the airport zoning authority per Part 119 of the FAA regulations</div><div>BR</div>","<div>Which of the following additional rules apply if you are erecting an amateur station antenna structure at a site at or near a public use airport?</div><div>BR</div> <div><font color=""#000000"">A. You may have to notify the Federal Aviation Administration and register it with the FCC as required by Part 17 of the FCC rules</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. You may have to enter the height above ground in meters, and the latitude and longitude in degrees, minutes, and seconds on the FAA website </font></div><div>BR</div> <div><font color=""#d5dbdb"">C. You must file an Environmental Impact Statement with the EPA before construction begins</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. You must obtain a construction permit from the airport zoning authority per Part 119 of the FAA regulations</font></div><div>BR</div>"
<div>To what type of regulations does PRB-1 apply?</div><div>BR</div> <div>A. Homeowners associations</div><div>BR</div> <div>B. FAA tower height limits</div><div>BR</div> <div>C. State and local zoning</div><div>BR</div> <div>D. Use of wireless devices in vehicles</div><div>BR</div>,"<div>To what type of regulations does PRB-1 apply?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Homeowners associations</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. FAA tower height limits</font></div><div>BR</div> <div><font color=""#000000"">C. State and local zoning</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Use of wireless devices in vehicles</font></div><div>BR</div>"
"<div>What limitations may the FCC place on an amateur station if its signal causes interference to domestic broadcast reception, assuming that the receivers involved are of good engineering design?</div><div>BR</div> <div>A. The amateur station must cease operation</div><div>BR</div> <div>B. The amateur station must cease operation on all frequencies below 30 MHz</div><div>BR</div> <div>C. The amateur station must cease operation on all frequencies above 30 MHz</div><div>BR</div> <div>D. The amateur station must avoid transmitting during certain hours on frequencies that cause the interference</div><div>BR</div>","<div>What limitations may the FCC place on an amateur station if its signal causes interference to domestic broadcast reception, assuming that the receivers involved are of good engineering design?</div><div>BR</div> <div><font color=""#d5dbdb"">A. The amateur station must cease operation</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The amateur station must cease operation on all frequencies below 30 MHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. The amateur station must cease operation on all frequencies above 30 MHz</font></div><div>BR</div> <div><font color=""#000000"">D. The amateur station must avoid transmitting during certain hours on frequencies that cause the interference</font></div><div>BR</div>"
<div>Which amateur stations may be operated under RACES rules?</div><div>BR</div> <div>A. Only those club stations licensed to Amateur Extra class operators</div><div>BR</div> <div>B. Any FCC-licensed amateur station except a Technician class</div><div>BR</div> <div>C. Any FCC-licensed amateur station certified by the responsible civil defense organization for the area served</div><div>BR</div> <div>D. Only stations meeting the FCC Part 97 technical standards for operation during an emergency</div><div>BR</div>,"<div>Which amateur stations may be operated under RACES rules?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Only those club stations licensed to Amateur Extra class operators</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Any FCC-licensed amateur station except a Technician class</font></div><div>BR</div> <div><font color=""#000000"">C. Any FCC-licensed amateur station certified by the responsible civil defense organization for the area served</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Only stations meeting the FCC Part 97 technical standards for operation during an emergency</font></div><div>BR</div>"
"<div>What frequencies are authorized to an amateur station operating under RACES rules?</div><div>BR</div> <div>A. All amateur service frequencies authorized to the control operator</div><div>BR</div> <div>B. Specific segments in the amateur service MF, HF, VHF, and UHF bands</div><div>BR</div> <div>C. Specific local government channels</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>","<div>What frequencies are authorized to an amateur station operating under RACES rules?</div><div>BR</div> <div><font color=""#000000"">A. All amateur service frequencies authorized to the control operator</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Specific segments in the amateur service MF, HF, VHF, and UHF bands</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Specific local government channels</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
<div>What does PRB-1 require of state and local regulations affecting amateur radio antenna size and structures?</div><div>BR</div> <div>A. No limitations may be placed on antenna size or placement</div><div>BR</div> <div>B. Reasonable accommodations of amateur radio must be made</div><div>BR</div> <div>C. Such structures must be permitted when use for emergency communications can be demonstrated</div><div>BR</div> <div>D. Such structures must be permitted if certified by a registered professional engineer</div><div>BR</div>,"<div>What does PRB-1 require of state and local regulations affecting amateur radio antenna size and structures?</div><div>BR</div> <div><font color=""#d5dbdb"">A. No limitations may be placed on antenna size or placement</font></div><div>BR</div> <div><font color=""#000000"">B. Reasonable accommodations of amateur radio must be made</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Such structures must be permitted when use for emergency communications can be demonstrated</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Such structures must be permitted if certified by a registered professional engineer</font></div><div>BR</div>"
<div>What is the maximum bandwidth for a data emission on 60 meters?</div><div>BR</div> <div>A. 60 Hz</div><div>BR</div> <div>B. 170 Hz</div><div>BR</div> <div>C. 1.5 kHz</div><div>BR</div> <div>D. 2.8 kHz</div><div>BR</div>,"<div>What is the maximum bandwidth for a data emission on 60 meters?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 60 Hz</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 170 Hz</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 1.5 kHz</font></div><div>BR</div> <div><font color=""#000000"">D. 2.8 kHz</font></div><div>BR</div>"
<div>Which of the following apply to communications transmitted to amateur stations in foreign countries?</div><div>BR</div> <div>A. Third party traffic must be limited to that intended for the exclusive use of government and non-Government Organization (NGOs) involved in emergency relief activities</div><div>BR</div> <div>B. All transmissions must be in English</div><div>BR</div> <div>C. Communications must be limited to those incidental to the purpose of the amateur service and remarks of a personal nature</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>,"<div>Which of the following apply to communications transmitted to amateur stations in foreign countries?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Third party traffic must be limited to that intended for the exclusive use of government and non-Government Organization (NGOs) involved in emergency relief activities</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. All transmissions must be in English</font></div><div>BR</div> <div><font color=""#000000"">C. Communications must be limited to those incidental to the purpose of the amateur service and remarks of a personal nature</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
"<div>How long must an operator wait after filing a notification with the Utilities Technology Council (UTC) before operating on the 2200-meter or 630-meter band?</div><div>BR</div> <div>A. Operators must not operate until approval is received</div><div>BR</div> <div>B. Operators may operate after 30 days, providing they have not been told that their station is within 1 kilometer of PLC systems using those frequencies</div><div>BR</div> <div>C. Operators may not operate until a test signal has been transmitted in coordination with the local power company</div><div>BR</div> <div>D. Operations may commence immediately, and may continue unless interference is reported by the UTC</div><div>BR</div>","<div>How long must an operator wait after filing a notification with the Utilities Technology Council (UTC) before operating on the 2200-meter or 630-meter band?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Operators must not operate until approval is received</font></div><div>BR</div> <div><font color=""#000000"">B. Operators may operate after 30 days, providing they have not been told that their station is within 1 kilometer of PLC systems using those frequencies</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Operators may not operate until a test signal has been transmitted in coordination with the local power company</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Operations may commence immediately, and may continue unless interference is reported by the UTC</font></div><div>BR</div>"
<div>What is an IARP?</div><div>BR</div> <div>A. A permit that allows US amateurs to operate in certain countries of the Americas</div><div>BR</div> <div>B. The internal amateur radio practices policy of the FCC</div><div>BR</div> <div>C. An indication of increased antenna reflected power</div><div>BR</div> <div>D. A forecast of intermittent aurora radio propagation</div><div>BR</div>,"<div>What is an IARP?</div><div>BR</div> <div><font color=""#000000"">A. A permit that allows US amateurs to operate in certain countries of the Americas</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The internal amateur radio practices policy of the FCC</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. An indication of increased antenna reflected power</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. A forecast of intermittent aurora radio propagation</font></div><div>BR</div>"
<div>Under what situation may a station transmit third party communications while being automatically controlled?</div><div>BR</div> <div>A. Never</div><div>BR</div> <div>B. Only when transmitting RTTY or data emissions</div><div>BR</div> <div>C. Only when transmitting SSB or CW</div><div>BR</div> <div>D. On any mode approved by the National Telecommunication and Information Administration</div><div>BR</div>,"<div>Under what situation may a station transmit third party communications while being automatically controlled?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Never</font></div><div>BR</div> <div><font color=""#000000"">B. Only when transmitting RTTY or data emissions</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Only when transmitting SSB or CW</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. On any mode approved by the National Telecommunication and Information Administration</font></div><div>BR</div>"
"<div>Which of the following is required in order to operate in accordance with CEPT rules in foreign countries where permitted?</div><div>BR</div> <div>A. You must identify in the official language of the country in which you are operating</div><div>BR</div> <div>B. The US embassy must approve of your operation</div><div>BR</div> <div>C. You must have a copy of FCC Public Notice DA 16-1048</div><div>BR</div> <div>D. You must append ""/CEPT"" to your call sign</div><div>BR</div>","<div>Which of the following is required in order to operate in accordance with CEPT rules in foreign countries where permitted?</div><div>BR</div> <div><font color=""#d5dbdb"">A. You must identify in the official language of the country in which you are operating</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. The US embassy must approve of your operation</font></div><div>BR</div> <div><font color=""#000000"">C. You must have a copy of FCC Public Notice DA 16-1048</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. You must append ""/CEPT"" to your call sign</font></div><div>BR</div>"
<div>What is the maximum permissible duration of a remotely controlled station’s transmissions if its control link malfunctions?</div><div>BR</div> <div>A. 30 seconds</div><div>BR</div> <div>B. 3 minutes</div><div>BR</div> <div>C. 5 minutes</div><div>BR</div> <div>D. 10 minutes</div><div>BR</div>,"<div>What is the maximum permissible duration of a remotely controlled station’s transmissions if its control link malfunctions?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 30 seconds</font></div><div>BR</div> <div><font color=""#000000"">B. 3 minutes</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 5 minutes</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 10 minutes</font></div><div>BR</div>"
<div>What is the highest modulation index permitted at the highest modulation frequency for angle modulation below 29.0 MHz?</div><div>BR</div> <div>A. 0.5</div><div>BR</div> <div>B. 1.0</div><div>BR</div> <div>C. 2.0</div><div>BR</div> <div>D. 3.0</div><div>BR</div>,"<div>What is the highest modulation index permitted at the highest modulation frequency for angle modulation below 29.0 MHz?</div><div>BR</div> <div><font color=""#d5dbdb"">A. 0.5</font></div><div>BR</div> <div><font color=""#000000"">B. 1.0</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 2.0</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 3.0</font></div><div>BR</div>"
<div>What is the maximum mean power level for a spurious emission below 30 MHz with respect to the fundamental emission?</div><div>BR</div> <div>A. - 43 dB </div><div>BR</div> <div>B. - 53 dB</div><div>BR</div> <div>C. - 63 dB</div><div>BR</div> <div>D. - 73 dB</div><div>BR</div>,"<div>What is the maximum mean power level for a spurious emission below 30 MHz with respect to the fundamental emission?</div><div>BR</div> <div><font color=""#000000"">A. - 43 dB </font></div><div>BR</div> <div><font color=""#d5dbdb"">B. - 53 dB</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. - 63 dB</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. - 73 dB</font></div><div>BR</div>"
"<div>Which of the following operating arrangements allows an FCC-licensed US citizen to operate in many European countries, and amateurs from many European countries to operate in the US?</div><div>BR</div> <div>A. CEPT</div><div>BR</div> <div>B. IARP</div><div>BR</div> <div>C. ITU reciprocal license</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>","<div>Which of the following operating arrangements allows an FCC-licensed US citizen to operate in many European countries, and amateurs from many European countries to operate in the US?</div><div>BR</div> <div><font color=""#000000"">A. CEPT</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. IARP</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. ITU reciprocal license</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. All these choices are correct</font></div><div>BR</div>"
<div>In what portion of the 630-meter band are phone emissions permitted?</div><div>BR</div> <div>A. None</div><div>BR</div> <div>B. Only the top 3 kHz</div><div>BR</div> <div>C. Only the bottom 3 kHz</div><div>BR</div> <div>D. The entire band</div><div>BR</div>,"<div>In what portion of the 630-meter band are phone emissions permitted?</div><div>BR</div> <div><font color=""#d5dbdb"">A. None</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Only the top 3 kHz</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Only the bottom 3 kHz</font></div><div>BR</div> <div><font color=""#000000"">D. The entire band</font></div><div>BR</div>"
"<div>What is the definition of telemetry?</div><div>BR</div> <div>A. One-way transmission of measurements at a distance from the measuring instrument</div><div>BR</div> <div>B. Two-way transmissions in excess of 1000 feet</div><div>BR</div> <div>C. Two-way transmissions of data</div><div>BR</div> <div>D. One-way transmission that initiates, modifies, or terminates the functions of a device at a distance</div><div>BR</div>","<div>What is the definition of telemetry?</div><div>BR</div> <div><font color=""#000000"">A. One-way transmission of measurements at a distance from the measuring instrument</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. Two-way transmissions in excess of 1000 feet</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Two-way transmissions of data</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. One-way transmission that initiates, modifies, or terminates the functions of a device at a distance</font></div><div>BR</div>"
<div>Which of the following may transmit encrypted messages?</div><div>BR</div> <div>A. Telecommand signals to terrestrial repeaters </div><div>BR</div> <div>B. Telecommand signals from a space telecommand station</div><div>BR</div> <div>C. Auxiliary relay links carrying repeater audio </div><div>BR</div> <div>D. Mesh network backbone nodes </div><div>BR</div>,"<div>Which of the following may transmit encrypted messages?</div><div>BR</div> <div><font color=""#d5dbdb"">A. Telecommand signals to terrestrial repeaters </font></div><div>BR</div> <div><font color=""#000000"">B. Telecommand signals from a space telecommand station</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. Auxiliary relay links carrying repeater audio </font></div><div>BR</div> <div><font color=""#d5dbdb"">D. Mesh network backbone nodes </font></div><div>BR</div>"
"<div>What is a space telecommand station?</div><div>BR</div> <div>A. An amateur station located on the surface of the Earth for communication with other Earth stations by means of Earth satellites</div><div>BR</div> <div>B. An amateur station that transmits communications to initiate, modify, or terminate functions of a space station</div><div>BR</div> <div>C. An amateur station located in a satellite or a balloon more than 50 kilometers above the surface of the Earth</div><div>BR</div> <div>D. An amateur station that receives telemetry from a satellite or balloon more than 50 kilometers above the surface of the Earth</div><div>BR</div>","<div>What is a space telecommand station?</div><div>BR</div> <div><font color=""#d5dbdb"">A. An amateur station located on the surface of the Earth for communication with other Earth stations by means of Earth satellites</font></div><div>BR</div> <div><font color=""#000000"">B. An amateur station that transmits communications to initiate, modify, or terminate functions of a space station</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. An amateur station located in a satellite or a balloon more than 50 kilometers above the surface of the Earth</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. An amateur station that receives telemetry from a satellite or balloon more than 50 kilometers above the surface of the Earth</font></div><div>BR</div>"
"<div>What must be posted at the location of a station being operated by telecommand on or within 50 kilometers of the Earth’s surface?</div><div>BR</div> <div>A. A photocopy of the station license</div><div>BR</div> <div>B. A label with the name, address, and telephone number of the station licensee</div><div>BR</div> <div>C. A label with the name, address, and telephone number of the control operator</div><div>BR</div> <div>D. All these choices are correct</div><div>BR</div>","<div>What must be posted at the location of a station being operated by telecommand on or within 50 kilometers of the Earth’s surface?</div><div>BR</div> <div><font color=""#d5dbdb"">A. A photocopy of the station license</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. A label with the name, address, and telephone number of the station licensee</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. A label with the name, address, and telephone number of the control operator</font></div><div>BR</div> <div><font color=""#000000"">D. All these choices are correct</font></div><div>BR</div>"
<div>What is the maximum permitted transmitter output power when operating a model craft by telecommand?</div><div>BR</div> <div>A. 1 watt</div><div>BR</div> <div>B. 2 watts</div><div>BR</div> <div>C. 5 watts</div><div>BR</div> <div>D. 100 watts</div><div>BR</div>,"<div>What is the maximum permitted transmitter output power when operating a model craft by telecommand?</div><div>BR</div> <div><font color=""#000000"">A. 1 watt</font></div><div>BR</div> <div><font color=""#d5dbdb"">B. 2 watts</font></div><div>BR</div> <div><font color=""#d5dbdb"">C. 5 watts</font></div><div>BR</div> <div><font color=""#d5dbdb"">D. 100 watts</font></div><div>BR</div>"
